"Cell","Label","Area","Mean_Fluor_Dapi","Mean_Fluor_Piwi","Mean_Fluor_Red","Dapi_Pos","Piwi_Status","Red_Pos","Dapi_Red_Pos"
143,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",29.887,2496.731,444.228,46.552,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
144,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",19.942,1250.566,260.682,79.248,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
145,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",24.167,2946.542,350.557,58.038,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
146,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",53.745,2371.564,194.956,212.701,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
147,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",17.056,1839.48,159.909,350.583,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
148,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",18.602,2654.753,265.573,56.066,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
149,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",24.116,2153.707,96.803,33.919,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
150,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",29.99,2356.022,270.833,82.308,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
151,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",27.31,2537.892,313.972,80.243,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
152,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",53.075,2487.366,235.112,1140.678,"TRUE","Piwi_Neg","TRUE","Dapi+_Red+"
153,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",17.005,2563.082,213.227,97.976,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
154,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",24.476,2958.425,244.145,57.501,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
155,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",24.682,2146.564,1152.683,65.223,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
156,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",21.024,2788.255,293.458,533.931,"TRUE","Piwi_Neg","TRUE","Dapi+_Red+"
157,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",28.908,2521.665,1451.629,52.633,"TRUE","Piwi_Hi","FALSE","Dapi+_Red-"
158,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",29.578,2313.225,266.767,74.338,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
159,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",30.454,2364.306,332.404,1819.086,"TRUE","Piwi_Lo","TRUE","Dapi+_Red+"
160,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",18.911,2330.548,162.823,59.708,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
161,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",36.689,2701.702,330.065,49.456,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
162,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",13.294,1970.019,223.581,72.496,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
163,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",56.321,2772.477,409.277,44.111,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
164,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",26.228,2876.833,590.917,252.324,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
165,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",45.346,2812.726,226.741,119.086,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
166,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",33.288,2478.398,317.057,60.333,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
167,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",24.27,2242.626,390.185,58.743,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
168,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",47.767,2681.959,421.246,57.247,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
